feature,importance
tfidf_727,0.08206157495402976
R_std,0.07105256596283036
tfidf_449,0.054693137254766856
R_min,0.04110559645081574
tfidf_897,0.037794164025623106
digit_count,0.03654884060907098
text_length,0.03043118151197938
tfidf_328,0.020677797954060387
tfidf_573,0.016732403487508523
G_hist_2,0.013869488234206567
tfidf_427,0.012788099728978186
tfidf_414,0.012586861452801136
tfidf_193,0.012058101246837025
uppercase_count,0.011220291955978661
punctuation_count,0.011152905862741667
tfidf_338,0.010861072322719763
char_count_no_spaces,0.010119852276168455
tfidf_180,0.009836750431675468
tfidf_410,0.009529726914459063
tfidf_222,0.009467451085262889
tfidf_497,0.008897949000777042
tfidf_981,0.008407577628802712
tfidf_677,0.00819119527534881
tfidf_494,0.007783552439327934
tfidf_495,0.007458263672069165
tfidf_490,0.0060183404752324355
tfidf_809,0.005624046993064979
tfidf_539,0.005548689165749106
tfidf_213,0.005221287388521666
tfidf_214,0.00504782003917184
feature_1124,0.004802846981602965
word_count,0.004741208424938938
tfidf_779,0.004705200352365584
tfidf_379,0.004653431722191008
tfidf_866,0.00462494963654052
tfidf_271,0.004503914029512761
tfidf_616,0.004428259643491802
tfidf_242,0.004206326464478947
tfidf_508,0.003956495482628284
G_hist_1,0.0038661033564769288
tfidf_704,0.003643926375555945
B_hist_1,0.003640437508288763
feature_1123,0.0036304738099387896
B_hist_2,0.0034925460862518932
tfidf_883,0.003325902467036283
G_hist_3,0.003277652934629357
height,0.003248951277209127
R_mean,0.0029985016329680285
tfidf_761,0.002975039517919052
tfidf_61,0.002967849078643852
tfidf_265,0.002935729910741847
G_hist_28,0.0029235590442068925
tfidf_789,0.00292182321966738
tfidf_534,0.0028947921736583847
tfidf_630,0.0028856085889939088
tfidf_433,0.0027106741318509244
G_hist_0,0.002703140779542665
B_hist_15,0.0026570000057164855
tfidf_340,0.002633855965498194
tfidf_162,0.002621076762414694
B_hist_13,0.002462445596313154
B_hist_3,0.0023710427371834847
tfidf_257,0.002341296011839496
R_hist_27,0.0022571909873771987
tfidf_940,0.0022442716058075204
B_hist_0,0.002243159689790593
tfidf_119,0.00223610165629114
R_hist_8,0.002231271580035431
tfidf_596,0.0022255165645150925
tfidf_899,0.002143942872953247
tfidf_37,0.0021420882174997624
G_hist_30,0.002126146179644264
G_hist_12,0.0021081376890434394
tfidf_547,0.002102062526526237
tfidf_595,0.002076321339197582
tfidf_118,0.0020761282694969694
B_hist_8,0.0020670098202184525
tfidf_305,0.002053665143389799
R_hist_11,0.0020353584081765196
G_min,0.0020327689828470454
B_median,0.002017198731092997
tfidf_361,0.0020069251591256164
tfidf_754,0.002006211252547468
B_hist_21,0.001999038266946462
tfidf_512,0.0019726648253762654
area,0.0019680435664773594
R_hist_30,0.001959319772734672
tfidf_650,0.0019048264544818472
R_hist_4,0.0018921510121501816
G_hist_8,0.001870768813047683
B_hist_14,0.001867503170981449
tfidf_408,0.0018491384408682763
tfidf_236,0.0018218944886979462
B_hist_6,0.0018193644335592375
tfidf_454,0.0017877057499683048
tfidf_760,0.0017866196512546474
B_hist_5,0.0017836759049016666
R_hist_31,0.001780621049889866
tfidf_498,0.001755235782805963
R_hist_5,0.0017501597828033645
tfidf_172,0.0017481320486186147
R_max,0.001729694654773605
B_hist_24,0.0017241095039644081
G_hist_26,0.0017118545376681718
tfidf_350,0.001698985749961026
tfidf_733,0.001692904311435043
feature_1122,0.001688289577279288
G_hist_5,0.0016775327315155775
tfidf_315,0.0016500019608299665
tfidf_194,0.0016439850457935722
B_hist_16,0.0016309418314940445
G_hist_22,0.0015922999096237911
G_hist_11,0.0015852114401883
G_hist_4,0.0015793543377094735
B_hist_4,0.0015520395332454394
tfidf_731,0.0015446293472115755
B_hist_9,0.0015428889920066648
B_hist_26,0.001532381991641818
R_hist_3,0.0015310609180140408
R_hist_28,0.0015240497066232915
tfidf_928,0.0015194354576807299
G_hist_10,0.0015193207950779102
B_max,0.001492506360114871
R_hist_7,0.0014902528854317013
R_hist_26,0.0014710683205923032
G_hist_6,0.001465442682131939
G_hist_25,0.0014570587260780998
R_hist_15,0.00144940043411561
tfidf_807,0.001444879490118471
G_hist_19,0.0014321985431902681
R_hist_14,0.0014197820764479555
B_hist_23,0.0014119984924945647
tfidf_147,0.0014077945547217587
tfidf_856,0.0014042218066280714
G_hist_9,0.0013996550040957757
G_hist_18,0.001397011746892121
B_hist_28,0.001391561595524792
G_hist_17,0.0013882335057825762
R_hist_6,0.001385527398419258
B_hist_30,0.001381059605405167
tfidf_688,0.0013705266193005893
tfidf_566,0.001363369012988735
